,MeanBill,MeanPaid,CurBill_Sept,Risky,CREDIT_RATIO,AGE,EDUCATION,DEFAULT
0,1284.0,-0.3333333333333333,3913,Yes,0.1551,24,university,defaulted
1,2846.1666666666665,0.5,2682,Yes,0.014375,26,university,defaulted
2,16942.166666666668,0.0,29239,No,0.15585555555555555,34,university,paid
3,38555.666666666664,0.0,46990,No,0.96466,37,university,paid
4,18223.166666666668,-0.3333333333333333,8617,No,0.1134,57,university,paid
5,39685.666666666664,0.0,64400,No,1.14138,37,graduate school,paid
6,454099.1666666667,0.0,367965,No,0.824046,29,graduate school,paid
7,2247.6666666666665,-0.5,11876,No,0.0038,23,university,paid
8,10868.666666666666,0.3333333333333333,11285,Yes,0.10068571428571428,28,high school,paid
9,4486.5,-1.6666666666666667,0,No,0.0,35,high school,paid
10,5744.5,0.16666666666666666,11073,Yes,0.048935,34,high school,paid
11,14728.166666666666,-0.5,12261,Yes,0.08334615384615385,51,graduate school,paid
12,6834.5,-0.8333333333333334,12137,No,0.010317460317460317,41,university,paid
13,56447.5,1.1666666666666667,65802,Yes,0.9624142857142857,30,university,defaulted
14,62265.166666666664,0.0,70887,No,0.26824,29,graduate school,paid
15,32736.0,0.5,50614,Yes,0.58346,23,high school,paid
16,17693.5,1.3333333333333333,15376,Yes,0.9005,24,graduate school,defaulted
17,161002.33333333334,-0.5,253286,No,0.770425,49,graduate school,paid
18,0.0,-1.5,0,Yes,0.0,49,graduate school,paid
19,0.0,-1.5,0,Yes,0.0,29,graduate school,paid
20,20647.166666666668,-0.16666666666666666,38358,No,0.21298461538461538,39,high school,paid
21,316.0,-1.0,316,No,0.0026333333333333334,39,university,defaulted
22,44245.833333333336,1.3333333333333333,41087,Yes,0.6063571428571428,26,university,defaulted
23,4494.166666666667,-2.0,5512,No,0.04315555555555556,40,graduate school,defaulted
24,5310.666666666667,-0.16666666666666666,4744,No,0.07855555555555556,23,graduate school,paid
25,35715.833333333336,0.0,47620,No,0.8362,23,high school,paid
26,-65.66666666666667,-0.8333333333333334,-109,Yes,-0.007083333333333333,27,graduate school,defaulted
27,18711.333333333332,0.0,22541,No,0.32276,30,high school,paid
28,6701.333333333333,-1.0,650,No,0.0683,47,high school,paid
29,16180.333333333334,0.0,15329,No,0.3315,26,graduate school,paid
30,18957.666666666668,-1.0,16646,No,0.07506521739130435,27,graduate school,paid
31,25311.5,0.3333333333333333,30518,Yes,0.59236,33,university,defaulted
32,82539.5,0.0,93036,No,0.84071,32,graduate school,paid
33,20957.333333333332,-2.0,10929,No,0.008304,54,university,paid
34,9719.666666666666,-2.0,13709,No,0.010012,58,graduate school,paid
35,4218.666666666667,-1.5,30265,No,-0.00081875,30,graduate school,paid
36,178329.5,0.0,186503,No,0.6476,40,university,paid
37,5379.833333333333,-0.16666666666666666,15054,No,0.16343333333333335,22,university,paid
39,8607.166666666666,-0.3333333333333333,498,Yes,0.032410714285714286,31,graduate school,paid
40,275125.1666666667,0.0,218668,No,0.6147111111111111,33,graduate school,paid
41,65476.0,0.0,67521,No,0.9571285714285714,25,graduate school,paid
42,3793.5,0.0,1877,No,0.3184,22,university,paid
43,64189.0,0.0,59504,No,0.4396,37,university,paid
44,24530.833333333332,0.3333333333333333,18927,Yes,0.532375,30,graduate school,paid
46,13221.333333333334,0.16666666666666666,14028,Yes,0.8242,22,graduate school,defaulted
47,1639.5,-0.5,4463,No,0.020226666666666667,46,other 2,defaulted
48,19135.833333333332,-1.0,22401,No,0.05668421052631579,32,university,paid
49,19301.666666666668,0.0,17447,No,0.92395,24,graduate school,paid
50,38168.666666666664,1.5,37042,Yes,0.5167285714285714,42,high school,defaulted
51,44197.5,0.0,61559,No,0.51163,43,high school,paid
52,7354.166666666667,-2.0,13465,No,0.02537741935483871,49,university,paid
53,43191.833333333336,0.5,41402,Yes,0.2319,25,graduate school,paid
54,29458.5,0.3333333333333333,46224,Yes,0.23328666666666667,29,graduate school,paid
55,1398.0,-2.0,1905,No,0.00728,45,graduate school,paid
56,9234.0,-0.5,16386,No,0.0877388888888889,34,high school,paid
57,158727.0,0.0,175886,No,0.9635555555555556,34,university,paid
58,1124.5,1.6666666666666667,1587,Yes,0.00549,34,graduate school,paid
59,380690.0,0.0,400134,No,0.9971425,29,university,paid
60,18283.166666666668,0.0,22848,No,0.047276,28,high school,defaulted
61,40707.0,-0.16666666666666666,70800,No,1.0294285714285714,39,university,paid
62,26279.0,2.0,24987,Yes,0.486,29,graduate school,defaulted
63,9647.333333333334,-1.0,28718,No,0.58332,46,university,defaulted
64,408.6666666666667,-1.3333333333333333,99,No,0.0,51,university,paid
65,78272.66666666667,-0.5,152519,Yes,0.743755,57,graduate school,defaulted
66,3808.6666666666665,1.0,2097,Yes,0.4193,56,university,defaulted
67,1431.5,-0.5,300,Yes,0.0014285714285714286,30,graduate school,paid
68,1316.8333333333333,-0.5,-190,Yes,-0.07576923076923077,29,high school,paid
69,14721.0,0.3333333333333333,18565,Yes,0.8602,22,other 2,paid
70,390.0,-1.0,780,No,0.0,31,graduate school,paid
71,60358.666666666664,2.0,58267,Yes,0.18514375,29,university,defaulted
72,4404.166666666667,-0.5,9076,Yes,0.028935,32,university,paid
73,919.0,-0.8333333333333334,0,Yes,0.0,37,graduate school,paid
74,23699.833333333332,-1.0,3048,No,0.016323529411764705,32,graduate school,paid
75,16888.0,0.3333333333333333,14619,Yes,0.8608,24,university,paid
76,24234.333333333332,-0.16666666666666666,42838,No,0.7445,25,high school,paid
77,291.0,-1.0,291,No,0.00097,45,graduate school,paid
78,24864.333333333332,0.0,28387,No,0.9870666666666666,22,university,defaulted
80,102470.5,0.0,165254,No,0.33571063829787234,33,high school,paid
81,49150.5,-0.16666666666666666,23411,No,0.0772111111111111,26,graduate school,paid
82,23927.666666666668,0.0,26324,No,0.45785,30,high school,defaulted
83,116825.33333333333,0.3333333333333333,131595,Yes,0.34765,44,university,paid
84,29583.166666666668,0.0,48909,No,0.95726,49,high school,paid
85,111168.83333333333,0.0,130028,No,0.6738,33,university,paid
86,585.0,-0.3333333333333333,390,Yes,0.00325,45,graduate school,defaulted
87,5270.5,-0.16666666666666666,3826,No,0.02969375,32,university,paid
88,37755.666666666664,-0.5,81313,No,0.9066615384615384,35,graduate school,paid
89,10218.166666666666,1.0,8583,Yes,0.41515,44,high school,paid
90,143694.5,2.0,138180,Yes,0.70387,53,graduate school,defaulted
91,2560.0,-0.8333333333333334,7524,No,0.0,39,graduate school,paid
92,592.5,-2.0,-2000,No,0.05555,27,graduate school,paid
93,693.6666666666666,-1.1666666666666667,880,No,0.0100125,37,university,paid
94,32973.166666666664,0.0,45648,No,0.7808333333333334,23,university,paid
95,59119.333333333336,0.0,83725,No,0.9555111111111111,35,university,paid
96,9743.333333333334,-0.8333333333333334,3967,No,0.023116666666666667,43,graduate school,paid
97,79901.83333333333,0.0,86009,No,0.5740533333333333,27,graduate school,paid
98,13965.666666666666,0.0,18722,No,0.3632,22,high school,paid
99,15536.166666666666,-0.16666666666666666,17973,No,0.96835,38,university,defaulted
100,2279.8333333333335,-2.0,672,No,0.07294285714285714,32,graduate school,paid
101,22100.333333333332,-0.8333333333333334,-81,No,-0.0007973684210526316,30,graduate school,paid
102,460169.1666666667,0.6666666666666666,422069,Yes,0.8986291666666667,63,graduate school,paid
103,34227.666666666664,0.0,44698,No,0.84508,22,high school,defaulted
104,57006.333333333336,1.6666666666666667,56685,Yes,0.9201333333333334,26,university,paid
105,5351.5,-1.5,5580,No,0.0,24,university,paid
106,2977.5,-1.0,6108,No,0.0357625,36,university,paid
107,1831.1666666666667,-1.0,713,No,0.006491428571428572,52,graduate school,paid
108,113489.66666666667,-0.5,171438,No,1.3721692307692308,38,university,paid
109,-103.0,-1.5,-103,Yes,-0.0002861111111111111,35,university,paid
110,106596.66666666667,0.3333333333333333,105879,Yes,0.32857878787878786,31,graduate school,paid
111,15523.166666666666,0.3333333333333333,13244,Yes,0.29444,47,high school,paid
112,142501.33333333334,2.1666666666666665,135673,Yes,0.49475714285714284,41,university,paid
113,55864.333333333336,0.0,52128,No,0.52692,24,graduate school,paid
114,19851.666666666668,0.0,19015,No,0.38588,41,university,paid
115,19610.0,1.0,18199,Yes,0.5872666666666667,24,graduate school,defaulted
116,1242.6666666666667,-1.0,326,No,0.0013583333333333334,28,graduate school,paid
117,16503.666666666668,0.3333333333333333,14029,Yes,0.1936625,26,university,defaulted
118,11971.333333333334,-1.0,19660,No,0.024165,34,university,paid
119,34950.5,-0.3333333333333333,50254,No,0.21435416666666668,38,university,paid
120,48374.166666666664,2.1666666666666665,46004,Yes,0.91952,37,high school,defaulted
122,0.0,-1.5,0,Yes,0.0,48,graduate school,paid
